Precinct,Borough,Year,Address,Latitude,Longitude,RadioRuns,RapeComplaints,FelonyAssaultComplaints,MurderComplaints,TotalComplaints
88,Brooklyn,2020,"298 Classon Ave, Brooklyn, NY 11205",40.68961334,-73.96016693,1262,6,79,1,86
90,Brooklyn,2021,"211 Union Ave, Brooklyn, NY 11211",40.706407,-73.950575,1860,7,76,1,84
100,Queens,2020,"92-24 Rockaway Beach Blvd, Rockaway",40.5863623,-73.8165601,1229,2,76,1,79
101,Queens,2020,"1612 Mott Ave, Far Rockaway, NY 11691",40.606029,-73.758773,2762,5,138,2,145
102,Queens,2020,"87-34 118th St, Richmond Hill, NY 11418",40.6986152,-73.8312172,2362,9,108,1,118
105,Queens,2021,"92-08 222nd St, Queens Village, NY 11428",40.7261701,-73.7351286,3364,21,180,3,204
105,Queens,2020,"92-08 222nd St, Queens Village, NY 11428",40.7261701,-73.7351286,3297,21,198,1,220
107,Queens,2021,"71-01 Parsons Blvd, Fresh Meadows, NY 11365",40.731037,-73.810764,2205,9,77,2,88
108,Queens,2021,"547 50th Ave, Long Island City, NY 11101",40.742729,-73.954109,1652,7,84,1,92
108,Queens,2020,"547 50th Ave, Long Island City, NY 11101",40.742729,-73.954109,1305,6,72,1,79
109,Queens,2021,"37-05 Union St, Flushing, NY 11354",40.76644897,-73.82753754,2245,9,74,1,84
109,Queens,2020,"37-05 Union St, Flushing, NY 11354",40.76644897,-73.82753754,1986,17,111,1,129
110,Queens,2020,"94-41 43rd Avenue, Elmhurst, NY 11373",40.7429675,-73.8756775,1491,22,133,1,156
111,Queens,2020,"45-06 215th St, Bayside, NY 11361",40.7782354,-73.7730247,586,1,41,1,43
113,Queens,2021,"167-02 Baisley Blvd, Jamaica, NY 11434",40.68871,-73.765468,3476,14,174,2,190
114,Queens,2021,"34-16 Astoria Blvd S, Astoria, NY 11103",40.7709337,-73.9213088,3517,15,158,2,175
114,Queens,2020,"34-16 Astoria Blvd S, Astoria, NY 11103",40.7709337,-73.9213088,3042,13,130,1,144
115,Queens,2021,"92-15 Northern Blvd, Jackson Heights, NY 11372",40.75598907,-73.8807373,2309,18,138,2,158
115,Queens,2020,"92-15 Northern Blvd, Jackson Heights, NY 11372",40.75598907,-73.8807373,1480,14,150,4,168
120,Staten Island,2020,"78 Richmond Terrace, Staten Island, NY 10301",40.6446438,-74.0774176,3775,8,92,1,101
121,Staten Island,2020,"970 Richmond Ave, Staten Island, NY 10314",40.6236028,-74.1501718,2299,7,106,1,114
122,Staten Island,2021,"2320 Hylan Blvd, Staten Island, NY 10306",40.5741323,-74.1054951,2228,3,67,2,72
122,Staten Island,2020,"2320 Hylan Blvd, Staten Island, NY 10306",40.5741323,-74.1054951,2092,3,59,1,63
1,Manhattan,2019,"16 Ericsson Pl, New York, NY 10013",40.72047806,-74.00708771,129,1,3,1,5
5,Manhattan,2019,"19 Elizabeth St, New York, NY 10013",40.716179,-73.99749,287,1,15,2,18
14,Manhattan,2019,"357 W 35th St, New York, NY 10001",40.753979,-73.994843,141,0,6,1,7
23,Manhattan,2019,"162 E 102nd St, New York, NY 10029",40.7892569,-73.9477058,870,1,38,1,40
24,Manhattan,2019,"162 E 102nd St, New York, NY 10029",40.7892569,-73.9477058,369,1,20,1,22
28,Manhattan,2019,"2271-89 Frederick Douglass Blvd, New York, NY 10027",40.830656,-73.936288,330,1,10,2,13
32,Manhattan,2019,"250 W 135th St, New York, NY 10030",40.8162117,-73.94584656,955,3,39,1,43
33,Manhattan,2019,"Parking, Parking lot, 2207 Amsterdam Ave, New York, NY 10032",40.84071,-73.93564,298,0,12,1,13
34,Manhattan,2019,"4295 Broadway, New York, NY 10033",40.8515271,-73.9353732,428,7,19,1,27
